Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
36,NBA,2,36,GSW,Jermareo Davidson\davidje01,22.23,F,us,Alabama,2008,2009,2007,52,8.3,3.1,1.8,0.3,0.2,0.3,0.425,0.425,,0.578,0,0
37,NBA,2,37,POR,Josh McRoberts\mcrobjo01,20.125,F,us,Duke,2008,2018,2007,433,19.1,5.4,3.9,2.1,0.5,0.4,0.463,0.514,0.34,0.705,18.5,0.107
38,NBA,2,38,PHI,Kyrylo Fesenko\fesenky01,20.191,C,ua,,2008,2012,2007,135,8.2,2.3,2,0.3,0.1,0.4,0.496,0.5,0,0.41,0.9,0.038
39,NBA,2,39,MIA,Stanko Barać\baracst01,20.323,C,ba,,,,2007,,,,,,,,,,,,,
40,NBA,2,40,LAL,Sun Yue\yuesu01,21.239,G,cn,,2009,2009,2007,10,2.8,0.6,0,0.2,0.1,0.1,0.273,0.6,0,,-0.1,-0.226
41,NBA,2,41,MIN,Chris Richard\richach01,22.19,F,us,Florida,2008,2010,2007,70,11.1,1.9,2.8,0.4,0.3,0.2,0.483,0.483,,0.605,0.7,0.045
42,NBA,2,42,POR,Derrick Byars\byarsde01,23.069,F,us,Vanderbilt,2012,2012,2007,2,18.5,5,5.5,0.5,1,0,0.273,0.6,0,1,0.1,0.147
43,NBA,2,43,NOK,Adam Haluska,,,,Iowa,,,2007,,,,,,,,,,,,,
44,NBA,2,44,ORL,Reyshawn Terry,,,,UNC,,,2007,,,,,,,,,,,,,
45,NBA,2,45,LAC,Jared Jordan,,,,Marist College,,,2007,,,,,,,,,,,,,
46,NBA,2,46,GSW,Stéphane Lasme\lasmest01,24.199,F,ga,UMass,2008,2008,2007,16,18.9,5.2,3.3,0.2,0.8,1.4,0.451,0.451,,0.594,0.3,0.041
47,NBA,2,47,WAS,Dominic McGuire\mcguido01,21.256,F,us,Fresno State,2008,2013,2007,342,15.6,2.7,3.4,1.2,0.5,0.5,0.419,0.423,0.188,0.658,4.1,0.037
48,NBA,2,48,LAL,Marc Gasol\gasolma01,22.155,C,es,,2009,2021,2007,874,32.5,14.2,7.5,3.4,0.9,1.4,0.48,0.498,0.355,0.777,84.4,0.143
49,NBA,2,49,CHI,Aaron Gray\grayaa01,22.208,C,us,Pitt,2008,2014,2007,318,12.1,3.4,3.7,0.7,0.3,0.3,0.509,0.511,0,0.562,6.2,0.077
50,NBA,2,50,DAL,Renaldas Seibutis\seibure01,21.345,G,lt,,,,2007,,,,,,,,,,,,,
51,NBA,2,51,CHI,JamesOn Curry\curryja01,21.177,G,us,Oklahoma State,2010,2010,2007,1,0,0,0,0,0,0,,,,,0,
52,NBA,2,52,POR,Taurean Green\greenta01,20.217,G,us,Florida,2008,2008,2007,17,4.4,1.6,0.6,0.6,0.1,0,0.28,0.357,0.182,0.917,-0.1,-0.066
53,NBA,2,53,POR,Demetris Nichols\nichode01,22.302,F,us,Syracuse,2008,2009,2007,18,3.2,1.2,0.4,0.1,0,0.2,0.281,0.353,0.2,0.5,-0.2,-0.203
54,NBA,2,54,HOU,Brad Newley\newlebr01,22.135,F-G,au,,,,2007,,,,,,,,,,,,,
55,NBA,2,55,UTA,Herbert Hill,,,,Providence,,,2007,,,,,,,,,,,,,
56,NBA,2,56,MIL,Ramon Sessions\sessira01,21.083,G,us,Nevada,2008,2018,2007,691,23.3,10.3,2.7,4.1,0.7,0.1,0.434,0.45,0.316,0.791,28.8,0.086
57,NBA,2,57,DET,Sammy Mejia,,,,DePaul,,,2007,,,,,,,,,,,,,
58,NBA,2,58,SAS,Georgios Printezis\printgi01,22.131,F,gr,,,,2007,,,,,,,,,,,,,
59,NBA,2,59,PHO,D.J. Strawberry\strawdj01,22.018,G,us,Maryland,2008,2008,2007,33,8.2,2.2,0.8,0.9,0.4,0.2,0.315,0.343,0.24,0.474,-0.2,-0.031
60,NBA,2,60,DAL,Milovan Raković\rakovmi01,22.134,C,rs,,,,2007,,,,,,,,,,,,,
61,NBA,2,31,MIN,Nikola Peković\pekovni01,22.18,C,me,,2011,2016,2008,271,24.9,12.6,6.7,0.7,0.5,0.6,0.518,0.518,,0.76,18.8,0.134
62,NBA,2,32,SEA,Walter Sharpe\sharpwa01,21.349,F,us,UAB,2009,2009,2008,8,2.5,1,0.4,0,0,0.3,0.364,0.444,0,0,-0.1,-0.131
63,NBA,2,33,POR,Joey Dorsey\dorsejo01,24.199,F,us,Memphis,2009,2015,2008,130,11.4,2.6,3.9,0.4,0.5,0.3,0.534,0.536,0,0.375,2.9,0.092
64,NBA,2,34,MIN,Mario Chalmers\chalmma01,22.044,G,us,Kansas,2009,2018,2008,646,26.7,8.9,2.5,3.7,1.5,0.2,0.417,0.475,0.351,0.793,32.3,0.09
65,NBA,2,35,LAC,DeAndre Jordan\jordade01,19.345,C,us,Texas A&M,2009,2021,2008,916,27.6,9.4,10.7,1,0.6,1.6,0.673,0.675,0.083,0.474,91.5,0.174
66,NBA,2,36,POR,Ömer Aşık\asikom01,21.363,C,tr,,2011,2018,2008,471,19.6,5.3,7.1,0.6,0.4,0.7,0.528,0.528,0,0.551,20.9,0.109
67,NBA,2,37,MIL,Luc Mbah a Moute\mbahalu01,21.296,F,cm,UCLA,2009,2020,2008,689,23.3,6.4,4.1,0.9,0.9,0.4,0.454,0.478,0.334,0.659,26,0.078
68,NBA,2,38,CHA,Kyle Weaver\weaveky01,22.134,G,us,Washington State,2009,2011,2008,73,18.9,5,2.2,1.6,0.8,0.5,0.441,0.497,0.353,0.736,1.5,0.051
69,NBA,2,39,CHI,Sonny Weems\weemsso01,21.359,G-F,us,Arkansas,2009,2016,2008,183,18.2,6.5,2.2,1.4,0.5,0.2,0.465,0.487,0.283,0.702,0,0.001
70,NBA,2,40,NJN,Chris Douglas-Roberts\douglch01,21.175,G,us,Memphis,2009,2015,2008,222,19.7,7.1,2.1,1.1,0.6,0.2,0.439,0.465,0.329,0.831,5.4,0.059
71,NBA,2,41,IND,Nathan Jawai\jawaina01,21.265,C-F,au,,2009,2010,2008,45,9.6,2.8,2.4,0.5,0.2,0.2,0.435,0.439,0,0.684,0.2,0.02
72,NBA,2,42,SAC,Sean Singletary\singlse01,22.299,G,us,Virginia,2009,2009,2008,37,8.2,2.4,0.9,0.8,0.3,0,0.365,0.35,0.4,0.857,0,0.006
73,NBA,2,43,SAC,Patrick Ewing\ewingpa02,24.043,F,us,Georgetown,2011,2011,2008,7,2.7,0.4,0.3,0.3,0,0.1,0,0,0,0.75,-0.1,-0.158
74,NBA,2,44,UTA,Ante Tomić\tomican01,21.135,C,hr,,,,2008,,,,,,,,,,,,,
75,NBA,2,45,SAS,Goran Dragić\dragigo01,22.057,G,si,,2009,2021,2008,845,28,13.9,3.1,4.8,1,0.2,0.463,0.507,0.362,0.766,55.4,0.112
76,NBA,2,46,SEA,Trent Plaisted,,,,Brigham Young University Hawaii,,,2008,,,,,,,,,,,,,
77,NBA,2,47,WAS,Henry Walker\walkebi01,20.266,F,us,Kansas State,2009,2015,2008,181,16.7,6,2.2,0.8,0.5,0.1,0.446,0.56,0.369,0.76,5,0.079
78,NBA,2,48,PHO,Malik Hairston\hairsma01,21.129,G,us,Oregon,2009,2010,2008,62,7.6,2.4,1.2,0.5,0.2,0.3,0.512,0.549,0.167,0.514,0.8,0.086
79,NBA,2,49,GSW,Richard Hendrix,,,,Alabama,,,2008,,,,,,,,,,,,,
80,NBA,2,50,SEA,DeVon Hardin\hardide01,21.329,C,us,California,,,2008,,,,,,,,,,,,,
81,NBA,2,51,DAL,Shan Foster,,,,Vanderbilt,,,2008,,,,,,,,,,,,,
82,NBA,2,52,MIA,Darnell Jackson\jacksda01,22.237,F,us,Kansas,2009,2011,2008,138,7.5,2.2,1.5,0.2,0.2,0.1,0.449,0.463,0.235,0.644,1.3,0.059
83,NBA,2,53,UTA,Tadija Dragićević\dragita01,22.155,F,rs,,,,2008,,,,,,,,,,,,,
84,NBA,2,54,HOU,Maarty Leunen\leunema01,22.302,F,us,Oregon,,,2008,,,,,,,,,,,,,
85,NBA,2,55,POR,Mike Taylor\taylomi01,22.162,G,us,Iowa State,2009,2009,2008,51,15.1,5.7,1.7,2.1,0.7,0,0.412,0.427,0.325,0.691,-0.4,-0.028
86,NBA,2,56,SEA,Sasha Kaun\kaunsa01,23.055,C,ru,Kansas,2016,2016,2008,25,3.8,0.9,1,0.1,0.2,0.2,0.529,0.529,,0.455,0.2,0.096
87,NBA,2,57,SAS,James Gist,,,,Maryland,,,2008,,,,,,,,,,,,,
88,NBA,2,58,LAL,Joe Crawford\crawfjo01,22.015,F,us,Kentucky,2009,2009,2008,2,11.5,4.5,2,0.5,0.5,0,0.3,0.333,0.25,1,0,0.037
89,NBA,2,59,DET,Deron Washington,,,,Virginia Tech,,,2008,,,,,,,,,,,,,
90,NBA,2,60,BOS,Semih Erden\erdense01,21.339,C,tr,,2011,2012,2008,69,13.4,3.8,2.8,0.4,0.4,0.4,0.546,0.546,,0.594,1.8,0.094
91,NBA,2,31,SAC,Jeff Ayres\pendeje02,22.063,F,us,Arizona State,2010,2016,2009,237,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,0.131
92,NBA,2,32,WAS,Jermaine Taylor\tayloje02,22.205,G,us,Central Florida,2010,2011,2009,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014
93,NBA,2,33,POR,Dante Cunningham\cunnida01,22.07,F,us,Villanova,2010,2019,2009,715,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,0.08
94,NBA,2,34,DEN,Sergio Llull\llullse01,21.228,G,es,,,,2009,,,,,,,,,,,,,
95,NBA,2,35,DET,DaJuan Summers\summeda01,21.158,F,us,Georgetown,2010,2013,2009,83,9.9,3.3,1,0.3,0.2,0.1,0.384,0.392,0.367,0.642,-0.1,-0.008
96,NBA,2,36,MEM,Sam Young\youngsa01,24.03,F,us,Pitt,2010,2013,2009,249,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,0.063
97,NBA,2,37,SAS,DeJuan Blair\blairde01,20.069,F-C,us,Pitt,2010,2016,2009,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,0.129
98,NBA,2,38,POR,Jon Brockman\brockjo01,22.103,F,us,Washington,2010,2012,2009,150,10.5,2.1,3.1,0.3,0.2,0.1,0.488,0.49,0,0.618,3.7,0.113
99,NBA,2,39,DET,Jonas Jerebko\jerebjo01,22.121,F,se,,2010,2019,2009,635,17.8,6.2,4,0.8,0.5,0.2,0.457,0.507,0.363,0.77,25.8,0.109
100,NBA,2,40,CHA,Derrick Brown\brownde04,21.296,F,us,Xavier,2010,2012,2009,171,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,0.085
101,NBA,2,41,MIL,Jodie Meeks\meeksjo01,21.314,G,us,Kentucky,2010,2019,2009,539,22.5,9.3,2.1,1.1,0.8,0.1,0.42,0.471,0.373,0.879,24.3,0.096
102,NBA,2,42,LAL,Patrick Beverley\beverpa01,20.353,G,us,Arkansas,2013,2021,2009,460,27.8,8.9,4.3,3.4,1.2,0.5,0.416,0.457,0.383,0.763,30.2,0.113
103,NBA,2,43,MIA,Marcus Thornton\thornma01,22.026,G,us,LSU,2010,2017,2009,483,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.471,0.358,0.83,20,0.085
104,NBA,2,44,DET,Chase Budinger\budinch01,21.039,F,us,Arizona,2010,2016,2009,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,0.083
